order_id,order_type,customer_ip,user_agent,merchant_device_id,forter_token_cookie,account_id,account_created,checkout_time,amount,currency,delivery_type,payment_method,card_brand,card_country,cvv_result,avs_full_result,3ds_triggered,customer_email,customer_country,billing_country,shipping_country,used_saved_data,merchant_id,merchant_name,segment,is_fraud
d7897627-f8b9-43d8-9eb1-438da5c88bc9,WEB,60.236.137.208,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/28.0.865.0 Safari/531.0",565e78c1-a2be-4dda-9e87-222b11074dca,e00b52f0a5752002ed55e6fbee907e2c,4533310403,451179924.0,1182380410.0,171.86,GBP,PHYSICAL,CREDIT_CARD,AMEX,US,Y,Y,True,kharper@example.org,GB,GB,GB,False,621,Ferguson Inc,1-UK,1
256f6639-1f17-401b-9d45-183b7abab503,WEB,91.122.159.155,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; brx-IN) AppleWebKit/533.26.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.26.4",03bd1a9f-05ac-4833-b1be-d68e46d73501,148b52a87f836e8529f4a8e4e814097b,9563994855,722228539.0,266347038.0,110.01,GBP,PHYSICAL,CREDIT_CARD,AMEX,US,N,Y,False,stewartalison@example.net,GB,GB,GB,False,792,Smith-Walker,5-US,1
d533d1ba-33fc-469a-b336-2902a78afdd5,WEB,105.98.196.220,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/17.9p3108.0 Mobile/20T728 Safari/531.1",655e0e2a-0c22-4d27-9617-f438949db420,06f1af052b613b5b25022e3f5a7c858f,8953320460,1352238293.0,1091710476.0,445.36,GBP,PHYSICAL,CREDIT_CARD,VISA,GB,Y,Y,True,bradytony@example.com,GB,GB,DE,True,811,"Green, Adams and Rodriguez",4-EU,1
59403baa-a64c-4c26-b057-8fcda73fdf7e,WEB,150.214.14.246,Opera/9.51.(X11; Linux i686; nan-TW) Presto/2.9.172 Version/11.00,7fddf599-fd12-4508-a72e-3369cd26e2e6,a8899261d86fe9a5a5b046ba992e1895,5607385868,1306345709.0,1456635544.0,226.31,GBP,PHYSICAL,CREDIT_CARD,MASTERCARD,US,,Y,True,ywilliams@example.net,GB,GB,US,False,667,Stewart-Garcia,1-UK,1
dd365bac-8a4f-483b-957f-10a0279bf513,WEB,74.49.254.180,Opera/9.32.(X11; Linux i686; os-RU) Presto/2.9.166 Version/12.00,926f82b9-d6c5-484a-9fca-b9e59da31272,3a2fa7d477fb3307292928a20d1a4eb4,1067576386,1212434402.0,1156423424.0,248.4,GBP,PHYSICAL,CREDIT_CARD,MASTERCARD,US,,N,True,evansmarc@example.com,GB,GB,DE,False,318,Miller-Davila,5-US,1
bb687fc0-9e91-4373-8325-e1ee694ee2c1,WEB,193.231.30.157,Opera/8.99.(Windows NT 6.0; iu-CA) Presto/2.9.179 Version/11.00,29477339-6f7c-4b78-905c-93a8ed272e78,d685ce27fe9f8ca849831566830ce4a8,5301446346,1259764418.0,1365669418.0,24.66,GBP,PHYSICAL,CREDIT_CARD,VISA,RU,N,N,True,miguel60@example.org,GB,GB,US,False,548,"Everett, Hunter and Wilson",5-US,1
67b0c11f-7ae2-4b48-a061-52b859c4fad1,WEB,10.197.95.182,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; st-ZA) AppleWebKit/533.39.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.39.3",0a1fce7a-8b07-41bc-98de-cc3eb5249fc4,a83c24397b03db7eb8b7a8ad7e6cdc96,3897388784,641488149.0,741399172.0,352.49,GBP,PHYSICAL,CREDIT_CARD,AMEX,US,N,N,False,jjones@example.com,GB,GB,DE,True,654,Ortega Inc,1-UK,1
b7807579-9247-4e3a-956a-121fd72ee106,WEB,45.83.28.66,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.10.1 (KHTML, like Gecko) Version/5.1 Safari/533.10.1",06be4c0c-f409-4149-a67a-3520459bf9e3,6a5105d76ca6868b3e7129eb511727aa,8373432943,1288816204.0,1416251670.0,370.07,GBP,PHYSICAL,CREDIT_CARD,MASTERCARD,CN,N,Y,True,frankwoods@example.net,GB,GB,US,True,309,Patterson-Livingston,4-EU,1
faaadc1a-deaf-461f-a1a2-69731ed42971,WEB,193.119.44.108,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ga-IE) AppleWebKit/533.5.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.5.6",cecdbaf0-1cc3-4c83-8f46-88652e061a00,2af023bab82090abbdcbf70932aaad4a,7017826902,1109876418.0,944662607.0,162.38,GBP,PHYSICAL,CREDIT_CARD,MASTERCARD,CN,,Y,True,xcarroll@example.com,GB,GB,US,False,427,"Joseph, Perez and Stone",4-EU,1
934f03c4-ab2e-4240-a3de-3dff11933aff,WEB,210.8.232.17,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 11.0; Trident/3.0),5871d526-1996-4512-bef9-ddbadd85aa9e,68da5566c1bd731308d8d9b5c4667fb9,3565427780,1429865169.0,45739431.0,456.38,GBP,PHYSICAL,CREDIT_CARD,VISA,RU,N,N,True,zhumphrey@example.net,GB,GB,US,True,976,Pennington-Davis,5-US,1
