order_id,order_type,customer_ip,user_agent,merchant_device_id,device_session_token,account_id,account_created,checkout_time,amount,currency,delivery_type,payment_method,card_brand,card_country,cvv_result,avs_full_result,3ds_triggered,customer_email,customer_country,billing_country,shipping_country,used_saved_data,merchant_id,merchant_name,region_segment,cart_total_items,browser_language,coupon_used,guest_checkout,shipping_speed,attempts_today,device_type,browser_name,flag_new_high_value_acc,flag_address_mismatch,flag_avs_failed,flag_cvv_failed,flag_odd_hour,flag_rapid_retries,flag_guest_new_device,flag_express_high_value,flag_geo_mismatch,is_fraud
0782c313-e8ca-42ab-a4aa-d935e003e647,WEB,241.217.187.92,Mozilla/5.0 (Windows NT 4.0; niu-NZ; rv:1.9.1.20) Gecko/4616-11-26 15:14:55 Firefox/3.6.1,b97aea40-ff06-431e-b3bd-28eba3570ab9,6e02018ed0fc08eee34143d1143dd042,6998633594,1722602131,1749824716,129.45,INR,PHYSICAL,CREDIT_CARD,VISA,RU,,N,False,lawrencecrystal@example.org,GB,GB,GB,False,362,ShopVerse,asia,1,en-GB,False,True,Standard,5,Tablet,Firefox,0,0,1,0,0,1,1,0,1,1
057d73b5-3349-4fc2-8973-9ae7a02090f5,WEB,71.49.210.56,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ur-PK) AppleWebKit/531.42.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.42.3",9a6c1d2f-9a11-4364-a42a-d6d8a567e8cb,f964dfad80e6798bec19b469c0aece0e,1378227511,1749751293,1751137876,333.69,CNY,PHYSICAL,CREDIT_CARD,AMEX,RU,Y,N,True,ole@example.net,GB,GB,US,False,528,ShopVerse,asia,5,en-US,False,False,Standard,1,Tablet,Edge,1,1,1,0,0,0,1,1,1,1
9dab3e30-b956-49d0-9bc4-f41f5e1bd1c7,WEB,10.13.15.126,Mozilla/5.0 (Windows NT 5.0; tl-PH; rv:1.9.2.20) Gecko/4938-01-10 06:56:35 Firefox/3.8,14f0b317-577c-47e0-aedd-ff22ae01631c,431897430b275bac3113a95717f2ef4c,5982112592,1745833933,1751710216,397.68,INR,PHYSICAL,CREDIT_CARD,VISA,CN,Y,Y,False,wjones@example.org,GB,GB,US,False,535,ShopVerse,asia,3,en-US,True,True,Express,1,Desktop,Safari,0,1,0,0,0,0,1,1,1,1
d4900fa4-7bc3-4d0e-8c1c-16ce31657dc0,WEB,48.251.155.88,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/30.0.843.0 Safari/531.2",1a490750-f91b-4ce0-9f45-a85d59276212,b4365bf7f9a49c24c83e5e1251b7b640,34389111,1747044752,1750968856,59.98,EUR,PHYSICAL,CREDIT_CARD,AMEX,GB,N,Y,True,robert61@example.org,GB,GB,GB,False,414,ShopVerse,eu,4,fr-FR,False,True,Standard,4,Mobile,Safari,0,0,0,1,0,1,1,0,0,1
66350185-cc37-4522-b482-6ae5e4984dbd,WEB,142.15.141.193,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/38.0.874.0 Safari/535.1",09ed8fa1-6638-4da2-8d27-52be1e4b3d08,8bdbd9c7e737baa3da8b068ecdafab0c,2045690149,1722914744,1751847496,328.86,USD,PHYSICAL,CREDIT_CARD,AMEX,RU,Y,N,True,qgarza@example.org,GB,GB,DE,True,254,ShopVerse,us,5,en-GB,False,False,Express,3,Mobile,Firefox,0,1,1,0,1,0,0,1,1,1
85d3265f-19eb-4704-9b64-241294518a59,WEB,6.211.69.239,Opera/8.77.(Windows NT 10.0; ts-ZA) Presto/2.9.161 Version/12.00,a7eeee4c-084b-4666-942c-7592495dbce5,21550775d6dba2f36d2950fd602e544a,153142408,1741893944,1751572276,100.78,CNY,PHYSICAL,CREDIT_CARD,MASTERCARD,US,N,Y,True,mwaters@example.com,GB,GB,GB,False,855,ShopVerse,asia,5,de-DE,False,True,Express,6,Tablet,Edge,0,0,0,1,0,1,0,0,1,1
4eb72e6f-0429-49a5-8aeb-e7ca06137c57,WEB,230.36.166.56,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.1),bab5f511-eb45-463a-9f28-49e05cde7a2e,e535cb18a9b37c1b3b406bafb8883af9,5585369753,1749168828,1750335976,350.14,USD,PHYSICAL,CREDIT_CARD,VISA,US,Y,N,True,racheljohnson@example.net,GB,GB,US,True,174,ShopVerse,us,5,fr-FR,False,False,Express,6,Tablet,Firefox,0,1,1,0,0,1,0,1,1,1
2eae0c0a-1bbf-4de2-9553-73b87f34315d,WEB,214.247.123.254,Mozilla/5.0 (Android 4.3.1; Mobile; rv:16.0) Gecko/16.0 Firefox/16.0,1672af62-6d24-4934-b314-6961e6b00d52,5b060832db3ba8cca2191d56026cd90a,4631714251,1734330061,1751713756,264.81,SGD,PHYSICAL,CREDIT_CARD,MASTERCARD,GB,N,Y,True,hrosales@example.com,GB,GB,DE,True,954,ShopVerse,asia,2,en-US,False,False,Next-Day,4,Desktop,Firefox,0,1,0,1,0,1,0,1,0,1
eaeba1d5-67c4-4543-ad04-57d8111372cb,WEB,46.117.178.43,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/21.0.899.0 Safari/536.2",ac4fd960-4433-4202-ba49-6bb8b75cd367,7a1ec672a4ae293d7fd42fa744f80fd5,161242334,1740209573,1751370076,219.72,USD,PHYSICAL,CREDIT_CARD,MASTERCARD,GB,Y,N,True,daniellesanchez@example.com,GB,GB,DE,True,356,ShopVerse,us,1,en-GB,False,True,Standard,2,Tablet,Firefox,0,1,1,0,0,0,1,0,0,1
18667efd-f3c0-43aa-865c-2f02f01162e5,WEB,36.225.232.161,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.0),84e13300-2f97-4f14-b056-9eaf0aededdb,40cb9a845991e347db03c9dd35b6980f,1001979018,1690399679,1750375936,156.33,GBP,PHYSICAL,CREDIT_CARD,MASTERCARD,US,Y,N,True,billythompson@example.com,GB,GB,US,False,0,ShopVerse,uk,5,de-DE,False,True,Standard,6,Tablet,Chrome,0,1,1,0,1,1,0,0,1,1
d1b40c61-4b34-495d-a497-4b2a942316db,WEB,223.96.1.69,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),b6ae9cc7-613d-4648-b9c3-d95bfd8ba1f7,a97d253470075f82c64e814225fe3e42,3506555981,1689375758,1751446816,140.32,INR,PHYSICAL,CREDIT_CARD,VISA,GB,N,N,False,alexis46@example.org,GB,GB,GB,False,31,ShopVerse,asia,4,en-US,False,False,Express,6,Tablet,Safari,0,0,1,1,0,1,0,0,0,1
9a4c2a08-2d1d-4fbf-8044-29d903586209,WEB,169.138.193.49,Opera/9.26.(Windows 95; am-ET) Presto/2.9.167 Version/11.00,a311df80-144d-44ab-8d54-e293ef303203,433a48580c7c5ac28a0b1441c539fb9a,3061504445,1740868034,1751401696,342.11,USD,PHYSICAL,CREDIT_CARD,AMEX,RU,,N,True,coxdonna@example.com,GB,GB,DE,True,149,ShopVerse,us,3,en-GB,True,True,Express,3,Tablet,Firefox,0,1,1,0,0,0,0,1,1,1
89d5a3a3-49f6-47d8-a3a6-474df0eab65c,WEB,147.16.117.254,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/25.0.840.0 Safari/532.0",c53e2d8f-cc81-44fe-9784-1abf59efb034,ecc14629ef7739bdfae45097954b1b4f,7662422607,1736474811,1751906416,399.02,CNY,PHYSICAL,CREDIT_CARD,MASTERCARD,US,Y,Y,True,mpatterson@example.org,GB,GB,US,False,873,ShopVerse,asia,4,de-DE,False,True,Express,5,Mobile,Chrome,0,1,0,0,0,1,1,1,1,1
879fa35c-17a0-44f5-89d4-545d4dd76c00,WEB,208.173.121.174,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2 rv:6.0; gu-IN) AppleWebKit/534.44.2 (KHTML, like Gecko) Version/5.0 Safari/534.44.2",899f2924-b6fc-43f9-94ab-1fff1901a1b5,8974c7f4bcfe7681bb6fe3fe50a32930,4027271039,1692973264,1752052636,45.58,INR,PHYSICAL,CREDIT_CARD,VISA,GB,Y,Y,True,morganana@example.com,GB,GB,DE,False,499,ShopVerse,asia,5,en-US,True,False,Express,4,Tablet,Chrome,0,1,0,0,0,1,0,0,0,1
e192cff1-fbf4-4a23-aca7-c1cfeb5a5157,WEB,57.216.177.60,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ga-IE) AppleWebKit/534.12.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6534.12.6",2b3574ee-4b96-4c55-9669-8c57395f805b,71e376b9459e1b46e495665412c2095b,2684161797,1723332636,1749853756,42.94,EUR,PHYSICAL,CREDIT_CARD,AMEX,CN,,Y,True,alicia90@example.net,GB,GB,DE,True,85,ShopVerse,eu,3,de-DE,False,False,Standard,6,Mobile,Safari,0,1,0,0,1,1,0,0,1,1
0fc735ff-60f0-457a-bef9-df5b0c34d1c1,WEB,140.245.239.157,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.1),cf875dab-c283-4b12-9d40-ecc5fa87cffa,42b1ed74fcc07e2dcf7dfe0e57b14ebd,8074187676,1705981864,1750518676,125.98,INR,PHYSICAL,CREDIT_CARD,AMEX,GB,Y,N,False,johnsonelizabeth@example.net,GB,GB,GB,True,225,ShopVerse,asia,3,fr-FR,False,True,Standard,4,Mobile,Chrome,0,0,1,0,0,1,0,0,0,1
